Id,organism,seedid,kingdom,phylum,mclass,order,family,genus,oxygenstat,metabolism,gram,mtype,genes,reactions,metabolites,draftcreator,draftcreated,phenotype,imgid,ncbiid,platform,kbaseid
bio/AERJA,"""Aeromonas jandaei Riv2""","""nan""",Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,dcs:OxygenRequirementStatusFacultative_anaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative,dcs:BacteriaGramStainTypeNegative,,988,1511,1090,Laura Kutt,2016-04-18,,2609460199.0,1458276.0,dcs:DataCollectionPlatformKbase,kb|g.239699
bio/AERME,"""Aeromonas media WS""","""nan""",Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,dcs:OxygenRequirementStatusFacultative_anaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative,dcs:BacteriaGramStainTypeNegative,,1013,1543,1125,Laura Kutt,2016-04-18,,,1208104.0,dcs:DataCollectionPlatformKbase,kb|g.239700
bio/AERVE,"""Aeromonas veronii B565""","""Aeromonas veronii B565 (998088.4)""",Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,dcs:OxygenRequirementStatusFacultative_anaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_non-fermentative,dcs:BacteriaGramStainTypeNegative,,1084,1559,1128,Laura Kutt,2016-04-18,,650716006.0,998088.0,dcs:DataCollectionPlatformKbase,kb|g.3886
bio/AFIBI,"""Afipia birgiae 34632""","""Afipia birgiae 34632 (1197906.5)""",Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Alfipia,dcs:OxygenRequirementStatusObligate_aerobe,dcs:MicrobialMetabolismTypeRespiratory,dcs:BacteriaGramStainTypeNegative,,1178,1482,1113,Laura Kutt,2016-04-18,,2551306146.0,1197906.0,dcs:DataCollectionPlatformKbase,kb|g.25402
bio/AGGAP,"""Aggregatibacter aphrophilus NJ8700""","""Aggregatibacter aphrophilus NJ8700 (634176.4)""",Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter,dcs:OxygenRequirementStatusAerobe,dcs:MicrobialMetabolismTypeRespiratory,dcs:BacteriaGramStainTypeNegative,,730,1294,998,Laura Kutt,2016-04-19,,644736324.0,634176.0,dcs:DataCollectionPlatformKbase,kb|g.2675
bio/AGRTU,"""Agrobacterium tumefaciens F2""","""Agrobacterium tumefaciens F2 (1050720.3)""",Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium,dcs:OxygenRequirementStatusAerobe,dcs:MicrobialMetabolismTypeRespiratory,dcs:BacteriaGramStainTypeNegative,,1290,1562,1169,,,,,1050720.0,dcs:DataCollectionPlatformKbase,kb|g.23531
bio/AKKMU,"""Akkermansia muciniphila ATCC BAA-835""","""Akkermansia muciniphila ATCC BAA-835 (349741.6)""",Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,dcs:OxygenRequirementStatusObligate_anaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative,dcs:BacteriaGramStainTypeNegative,dcs:PathogenMethodOfInvasionCommensal,643,2274,1275,Eugen Bauer,2014-08-03,4.0,642555104.0,349741.0,dcs:DataCollectionPlatformKbase,
bio/ALCFA,"""Alcaligenes faecalis subsp. faecalis NBRC 13111""","""nan""",Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Alcaligenes,dcs:OxygenRequirementStatusAerobe,dcs:MicrobialMetabolismTypeRespiratory,dcs:BacteriaGramStainTypeNegative,,988,1531,1127,Laura Kutt,2016-04-18,,2600255060.0,1218102.0,dcs:DataCollectionPlatformKbase,kb|g.239717
bio/ALCFA,"""Alcaligenes faecalis subsp. faecalis NCIB 8687""","""Alcaligenes faecalis subsp. faecalis NCIB 8687 (1156918.4)""",Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Alcaligenes,dcs:OxygenRequirementStatusAerobe,dcs:MicrobialMetabolismTypeRespiratory,dcs:BacteriaGramStainTypeNegative,,1059,1491,1103,Laura Kutt,2016-05-30,,2537562045.0,1156918.0,dcs:DataCollectionPlatformKbase,kb|g.24921
bio/ALIFI,"""Alistipes finegoldii DSM 17242""","""Alistipes finegoldii DSM 17242 (679935.3)""",Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,dcs:OxygenRequirementStatusObligate_anaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative,dcs:BacteriaGramStainTypeNegative,,668,1147,883,Laura Kutt,2016-04-17,,2509601035.0,679935.0,dcs:DataCollectionPlatformKbase,kb|g.27343
bio/ALIIN,"""Alistipes indistinctus YIT 12060""","""Alistipes indistinctus YIT 12060 (742725.3)""",Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,dcs:OxygenRequirementStatusObligate_anaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative,dcs:BacteriaGramStainTypeNegative,,703,2185,1393,Laura Kutt,2016-04-17,,2513237277.0,742725.0,dcs:DataCollectionPlatformModelSEED,kb|g.27472
bio/ALION,"""Alistipes onderdonkii DSM 19147""","""Alistipes onderdonkii DSM 19147 (1120974.3)""",Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,dcs:OxygenRequirementStatusObligate_anaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative,dcs:BacteriaGramStainTypeNegative,,662,1101,899,Laura Kutt,2016-04-17,,,1203611.0,dcs:DataCollectionPlatformModelSEED,kb|g.29550
bio/ALIPU,"""Alistipes putredinis DSM 17216""","""Alistipes putredinis DSM 17216 (445970.5)""",Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,dcs:OxygenRequirementStatusObligate_anaerobe,dcs:MicrobialMetabolismTypeWeakly_saccharolytic_fermentative,dcs:BacteriaGramStainTypeNegative,dcs:PathogenMethodOfInvasionCommensal,421,858,721,chenry,2014-09-09,,,445970.0,dcs:DataCollectionPlatformKbase,kb|g.1522
bio/ALISH,"""Alistipes shahii WAL 8301""","""Alistipes shahii WAL 8301 (717959.3)""",Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,dcs:OxygenRequirementStatusObligate_anaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative,dcs:BacteriaGramStainTypeNegative,,668,2225,1262,Laura Kutt,2016-04-17,,650377904.0,717959.0,dcs:DataCollectionPlatformKbase,kb|g.3099
bio/ALLTA,"""Alloprevotella tannerae ATCC 51259""","""nan""",Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,dcs:OxygenRequirementStatusObligate_anaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative,dcs:BacteriaGramStainTypeNegative,,809,893,770,Laura Kutt,2016-04-17,,,626522.0,dcs:DataCollectionPlatformKbase,kb|g.2651
bio/ANAHY,"""Anaerobaculum hydrogeniformans OS1, ATCC BAA-1850""","""Anaerobaculum hydrogeniformans ATCC BAA-1850 (592015.5)""",Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Anaerobaculum,dcs:OxygenRequirementStatusObligate_anaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative,dcs:BacteriaGramStainTypeNegative,dcs:PathogenMethodOfInvasionCommensal,670,1030,825,Ines Thiele,2012-06-29,3.0,647000209.0,649746.0,dcs:DataCollectionPlatformKbase,
bio/ANASU,"""Anaerobiospirillum succiniciproducens DSM 640001""","""nan""",Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Vibrionaceae,Anaerobiospirillum,dcs:OxygenRequirementStatusAnaerobe,dcs:MicrobialMetabolismTypeAsaccharolytic,dcs:BacteriaGramStainTypeNegative,,563,1127,919,Laura Kutt,2016-04-19,,,1120988.0,dcs:DataCollectionPlatformKbase,kb|g.207031
bio/ANAHY,"""Anaerococcus hydrogenalis DSM 7454""","""Anaerococcus hydrogenalis DSM 7454 (561177.4)""",Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Anaerococcus,dcs:OxygenRequirementStatusObligate_anaerobe,dcs:MicrobialMetabolismTypeWeakly_saccharolytic_fermentative,dcs:BacteriaGramStainTypePositive,dcs:PathogenMethodOfInvasionCommensal,582,873,696,Ines Thiele,2012-06-29,4.0,642979323.0,561177.0,dcs:DataCollectionPlatformKbase,
bio/ANAPR,"""Anaerococcus prevotii DSM 20548""","""Anaerococcus prevoti prevotii DSM 20548 (525919.4)""",Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,dcs:OxygenRequirementStatusObligate_anaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative,dcs:BacteriaGramStainTypePositive,,537,1060,809,Laura Kutt,2016-04-18,,644736326.0,525919.0,dcs:DataCollectionPlatformKbase,kb|g.2043
bio/ANAVA,"""Anaerococcus vaginalis ATCC 51170""","""Anaerococcus vaginalis ATCC 51170 (655811.4)""",Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,dcs:OxygenRequirementStatusObligate_anaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative,dcs:BacteriaGramStainTypePositive,,515,1119,859,Laura Kutt,2016-04-18,,,655811.0,dcs:DataCollectionPlatformKbase,kb|g.2788
bio/ANAST,"""Anaerofustis stercorihominis DSM 17244""","""Anaerofustis stercorihominis DSM 17244 (445971.6)""",Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Anaerofustis,dcs:OxygenRequirementStatusObligate_anaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative,dcs:BacteriaGramStainTypePositive,dcs:PathogenMethodOfInvasionCommensal,587,986,847,Eugen Bauer,2014-08-03,1.0,641736193.0,445971.0,dcs:DataCollectionPlatformModelSEED,
bio/ANACA,"""Anaerostipes caccae DSM 14662""","""Anaerostipes caccae DSM 14662 (411490.6)""",Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,dcs:OxygenRequirementStatusObligate_anaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative_acetate_and_lactate_converted_to_butyrate,dcs:BacteriaGramStainTypePositive,dcs:PathogenMethodOfInvasionCommensal,978,1617,1221,Ines Thiele,2012-08-06,4.0,641736227.0,411490.0,dcs:DataCollectionPlatformModelSEED,
bio/ANAHA,"""Anaerostipes hadrus DSM 3319""","""Anaerostipes hadrus DSM 3319 (649757.3)""",Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,dcs:OxygenRequirementStatusObligate_anaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative,dcs:BacteriaGramStainTypePositive,dcs:PathogenMethodOfInvasionCommensal,812,1704,1227,chenry,2014-09-10,,2534681714.0,649757.0,dcs:DataCollectionPlatformKbase,kb|g.32259
bio/ANASP,"""Anaerostipes sp. 3_2_56FAA""","""Anaerostipes sp. 3_2_56FAA (665937.3)""",Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,dcs:OxygenRequirementStatusObligate_anaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative,dcs:BacteriaGramStainTypePositive,dcs:PathogenMethodOfInvasionCommensal,1002,1138,942,Ines Thiele,2012-06-29,3.0,649989907.0,665937.0,dcs:DataCollectionPlatformKbase,
bio/ANACO,"""Anaerotruncus colihominis DSM 17241""","""Anaerotruncus colihominis DSM 17241 (445972.6)""",Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Anaerotruncus,dcs:OxygenRequirementStatusObligate_anaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative,dcs:BacteriaGramStainTypePositive,dcs:PathogenMethodOfInvasionCommensal,754,1090,887,Ines Thiele,2012-04-20,4.0,641736271.0,445972.0,dcs:DataCollectionPlatformKbase,
bio/ANEAE,"""Aneurinibacillus aneurinilyticus ATCC 12856""","""nan""",Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Aneurinibacillus,dcs:OxygenRequirementStatusAerobe,dcs:MicrobialMetabolismTypeSaccharolytic,dcs:BacteriaGramStainTypePositive,,1076,1510,1142,Laura Kutt,2016-04-18,,2563366762.0,649747.0,dcs:DataCollectionPlatformKbase,kb|g.216026
bio/ARCHA,"""Arcanobacterium haemolyticum DSM 20595""","""Arcanobacterium haemolyticum DSM 20595 (644284.3)""",Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Arcanobacterium,dcs:OxygenRequirementStatusFacultative_anaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative,dcs:BacteriaGramStainTypePositive,dcs:PathogenMethodOfInvasionOpportunistic_pathogen,510,1056,847,chenry,2016-04-15,,646564505.0,644284.0,dcs:DataCollectionPlatformKbase,kb|g.2746
bio/ARCBU,"""Arcobacter butzleri RM4018""","""Arcobacter butzleri RM4018 (367737.4)""",Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Arcobacter,dcs:OxygenRequirementStatusMicroaerophile,dcs:MicrobialMetabolismTypeNon-fermentative_asaccharolytic,dcs:BacteriaGramStainTypeNegative,,634,1081,902,Laura Kutt,2016-04-18,,640753004.0,367737.0,dcs:DataCollectionPlatformKbase,kb|g.1095
